numPermutations,totalRecursions,permRecursions,numWords,timeForPermutation,boardSize
6,81,34,3,0,4
2,44,21,3,0,4
32,7804436,7622,7,17,7
6,2888,71,7,0,7
40,25900,488,7,1,7
13,4240,917,8,11,7
72,318219,222,8,0,7
58,756674,129,8,0,7
34,54380,15919,7,56,7
35,6291,1882,7,6,7
191,95135,572,8,1,7
1,15669,15669,8,71,7
2,1878,1782,8,9,7
26,1269045,1178,8,2,7
7,18462,2453,7,7,7
20,168553,3211,7,8,7
98,460397,351230,8,1014,7
57,26744,875,7,2,7
24,29223,110,8,0,7
1,15,15,3,0,3
2,14,10,3,0,3
2,14,10,3,0,3
1,14,14,3,0,3
1,10,10,3,0,3
2,24,15,3,0,3
2,12,10,3,0,3
3,46,10,3,0,3
1,27,27,3,0,3
1,26,26,3,0,3
2,17,13,3,0,3
2,20,13,3,0,3
2,17,10,3,0,3
1,10,10,3,0,3
2,41,18,3,0,3
1,10,10,3,0,3
1,33,33,3,0,3
1,10,10,3,0,3
1,11,11,3,0,3
1,10,10,3,0,3
1,17,17,3,0,4
1,17,17,3,0,4
3,76,22,3,0,4
4,51,23,3,0,4
1,30,30,3,0,4
2,145,70,3,0,4
2,47,21,3,0,4
2,43,19,3,0,4
1,37,37,3,0,4
2,85,26,3,0,4
6,124,30,3,0,4
1,26,26,3,0,4
3,36,17,3,0,4
3,36,24,3,0,4
1,20,20,3,0,4
1,70,70,3,0,4
2,241,19,3,0,4
2,25,17,3,0,4
1,43,43,3,0,4
2,63,40,3,0,4
1,20,20,3,0,4
1,49,49,3,0,4
1,17,17,3,0,4
4,175,17,3,0,4
1,23,23,3,0,4
2,32,18,3,0,4
2,56,39,3,0,4
1,17,17,3,0,4
4,43,18,3,0,4
4,156,26,3,0,4
1,18,18,3,0,4
5,128,21,3,0,4
1,25,25,3,0,4
3,39,17,3,0,4
2,33,19,3,0,4
1,18,18,3,0,4
2,34,21,3,0,4
1,18,18,3,0,4
1,25,25,3,0,4
1,27,27,3,0,4
2,100,64,3,0,4
1,47,47,3,0,4
1,95,95,3,0,4
2,25,19,3,0,4
2,226,66,3,0,4
1,250,250,3,1,4
3,41,18,3,0,4
6,135,17,3,0,4
3,93,26,3,0,4
2,32,21,3,0,4
6,51,24,3,0,4
2,24,22,3,0,4
2,36,17,3,0,4
1,19,19,3,0,4
2,46,17,3,0,4
1,112,112,3,0,4
1,21,21,3,0,4
1,95,95,3,0,4
1,28,28,3,0,4
1,22,22,3,0,4
1,22,22,3,0,4
1,18,18,3,0,4
1,17,17,3,0,4
1,18,18,3,0,4
1,18,18,3,0,4
5,64,26,3,0,4
1,23,23,3,0,4
1,18,18,3,0,4
6,180,22,3,0,4
1,27,27,3,0,4
3,37,17,3,0,4
3,84,40,3,0,4
4,361,171,3,2,4
5,75,22,3,0,4
2,32,28,3,0,4
1,27,27,3,0,4
1,22,22,3,0,4
1,17,17,3,0,4
1,25,25,3,0,4
4,88,48,3,0,4
2,23,21,3,0,4
2,26,23,3,0,4
1,19,19,3,0,4
1,18,18,3,0,4
1,21,21,3,0,4
1,60,60,3,0,4
1,17,17,3,0,4
3,40,17,3,0,4
3,60,23,3,0,4
1,26,26,3,0,4
5,286,50,3,0,4
1,17,17,3,0,4
3,50,26,3,0,4
1,34,34,3,0,4
1,22,22,3,0,4
4,69,31,3,0,4
2,27,22,3,0,4
1,18,18,3,0,4
4,211,42,5,0,5
4,480,72,4,0,5
1,728,728,4,2,5
3,330,146,4,0,5
2,490,397,5,1,5
13,595,61,4,0,5
9,1510,169,4,0,5
10,2245,601,4,1,5
1,204,204,4,0,5
3,444,125,4,0,5
5,107,77,4,0,5
2,83,35,4,0,5
1,166,166,5,0,5
2,45,26,4,0,5
5,112,41,4,0,5
6,224,71,4,0,5
16,1554,87,4,0,5
1,39,39,4,0,5
1,52,52,4,0,5
1,38,38,4,0,5
5,1437,94,4,0,5
3,400,132,4,0,5
1,54,54,4,0,5
1,27,27,4,0,5
1,202,202,4,1,5
2,148,46,4,0,5
1,38,38,4,0,5
8,939,271,4,1,5
7,60,39,4,0,5
5,462,99,4,0,5
18,438,37,4,0,5
3,173,28,4,0,5
3,116,105,4,0,5
7,683,119,4,0,5
9,1760,72,4,0,5
3,443,400,4,1,5
1,152,152,4,0,5
6,1282,197,4,0,5
2,254,203,4,0,5
4,138,41,4,0,5
4,1098,31,4,0,5
8,654,34,4,0,5
1,33,33,4,0,5
4,628,172,4,0,5
18,518,74,4,0,5
1,90,90,5,0,5
1,226,226,4,2,5
3,239,51,4,0,5
21,320,29,4,0,5
18,1040,50,4,0,5
18,1383,76,4,0,5
2,61,53,4,0,5
1,128,128,4,1,5
4,128,42,4,0,5
4,946,386,4,2,5
1,28,28,4,0,5
1,161,161,4,0,5
1,38,38,4,0,5
2,249,134,4,0,5
15,821,61,4,0,5
1,66,66,4,0,5
23,1226,30,4,0,5
2,595,548,4,2,5
3,73,43,4,0,5
8,380,182,4,0,5
1,558,558,4,1,5
1,143,143,4,0,5
11,978,66,4,0,5
5,3692,1704,4,4,5
2,59,39,4,0,5
5,300,112,4,0,5
6,1171,1107,4,4,5
3,851,177,4,0,5
13,631,149,4,0,5
